condition,turn_index,r,n
impossible_numeric_8turn,0,-0.34966354721217346,20
impossible_numeric_8turn,1,-0.045820398359680936,20
impossible_numeric_8turn,2,0.059602842227865944,20
impossible_numeric_8turn,3,-0.20632666317148252,20
impossible_numeric_8turn,4,0.06452323804052494,20
impossible_numeric_8turn,5,-0.08455934416527722,20
impossible_numeric_8turn,6,-0.13321829589173292,20
impossible_numeric_8turn,7,-0.2497184761683977,20
tones_aggressive_8turn,0,-0.6748209496568581,20
tones_aggressive_8turn,1,-0.40800002175083944,20
tones_aggressive_8turn,2,-0.07702244978314687,20
tones_aggressive_8turn,3,-0.34805992232637717,20
tones_aggressive_8turn,4,0.24850116635587646,20
tones_aggressive_8turn,5,-0.12514310422942232,20
tones_aggressive_8turn,6,-0.013075319469531527,20
tones_aggressive_8turn,7,-0.0904286873592025,20
tones_disappointed_8turn,0,-0.23620055553088967,20
tones_disappointed_8turn,1,0.3611344953927633,20
tones_disappointed_8turn,2,0.2224417818330494,20
tones_disappointed_8turn,3,-0.170911332397725,20
tones_disappointed_8turn,4,-0.30414069208003547,20
tones_disappointed_8turn,5,-0.16045410050422654,20
tones_disappointed_8turn,6,-0.42451958258881956,20
tones_disappointed_8turn,7,-0.008973868498132104,20
tones_sarcastic_8turn,0,-0.4247890360159116,20
tones_sarcastic_8turn,1,-0.2561595512350777,20
tones_sarcastic_8turn,2,-0.04853898137402611,20
tones_sarcastic_8turn,3,-0.04065099638271319,20
tones_sarcastic_8turn,4,0.34958295213628976,20
tones_sarcastic_8turn,5,-0.06952037022957656,20
tones_sarcastic_8turn,6,0.3564911392750601,20
tones_sarcastic_8turn,7,-0.0545607331547068,20
redacted_history_8turn,0,-0.3936227928590809,20
redacted_history_8turn,1,-0.05407773567883351,20
redacted_history_8turn,2,0.17341576919572624,20
redacted_history_8turn,3,-0.3285395531088837,20
redacted_history_8turn,4,-0.2537076310589396,20
redacted_history_8turn,5,0.2664983312172164,20
redacted_history_8turn,6,0.08574054592398243,20
redacted_history_8turn,7,0.18506298498070403,20
wildchat_8turn,0,-0.2677190949598391,20
wildchat_8turn,1,0.580955046956894,20
wildchat_8turn,2,0.1533856431954023,20
wildchat_8turn,3,-0.07115482381166534,20
wildchat_8turn,4,-0.00324581599611694,20
wildchat_8turn,5,0.13715327722411333,20
wildchat_8turn,6,0.23730949428698,20
wildchat_8turn,7,0.20558942597724367,20
neutral_continuation_8turn,0,-0.574592201705313,20
neutral_continuation_8turn,1,0.4659901511040184,20
neutral_continuation_8turn,2,0.15487106989516064,20
neutral_continuation_8turn,3,0.08721775538448423,20
neutral_continuation_8turn,4,0.005053044092340422,20
neutral_continuation_8turn,5,-0.1451265645519355,20
neutral_continuation_8turn,6,-0.0022151677995994297,20
neutral_continuation_8turn,7,-0.01600938129850091,20
