condition,turn_index,r,n
impossible_numeric_8turn,0,0.04517089284987287,20
impossible_numeric_8turn,1,-0.2013711338873817,20
impossible_numeric_8turn,2,-0.34511579902581696,20
impossible_numeric_8turn,3,-0.10420077830137596,20
impossible_numeric_8turn,4,-0.10261990254507455,20
impossible_numeric_8turn,5,-0.3951849674968621,20
impossible_numeric_8turn,6,-0.053606904175551,20
impossible_numeric_8turn,7,0.1077545845281842,20
tones_aggressive_8turn,0,0.26461635760355917,20
tones_aggressive_8turn,1,-0.11197715692066622,20
tones_aggressive_8turn,2,0.09300219729108385,20
tones_aggressive_8turn,3,0.1517802268033842,20
tones_aggressive_8turn,4,0.3367070268614977,20
tones_aggressive_8turn,5,-0.4523301596941539,20
tones_aggressive_8turn,6,0.46868743095579696,20
tones_aggressive_8turn,7,0.2335052245350712,20
tones_disappointed_8turn,0,0.24736501572861214,20
tones_disappointed_8turn,1,-0.32900348775985255,20
tones_disappointed_8turn,2,-0.0053158427752359365,20
tones_disappointed_8turn,3,-0.09419690599139754,20
tones_disappointed_8turn,4,-0.26009265688207767,20
tones_disappointed_8turn,5,-0.4477603582855852,20
tones_disappointed_8turn,6,-0.06458676180590774,20
tones_disappointed_8turn,7,-0.13426382816324312,20
tones_sarcastic_8turn,0,-0.2030731693201822,20
tones_sarcastic_8turn,1,-0.30368094607912727,20
tones_sarcastic_8turn,2,0.1473948855349078,20
tones_sarcastic_8turn,3,0.17310837186386657,20
tones_sarcastic_8turn,4,0.008681222006041746,20
tones_sarcastic_8turn,5,0.2311844657362005,20
tones_sarcastic_8turn,6,-0.2352742450986582,20
tones_sarcastic_8turn,7,0.239918650391852,20
redacted_history_8turn,0,-0.021537144423640246,20
redacted_history_8turn,1,-0.08940167615526805,20
redacted_history_8turn,2,-0.313180276135825,20
redacted_history_8turn,3,0.16983607835912826,20
redacted_history_8turn,4,-0.5287608512849781,20
redacted_history_8turn,5,-0.2869195490624564,20
redacted_history_8turn,6,-0.5138526491252479,20
redacted_history_8turn,7,-0.04125982564630588,20
wildchat_8turn,0,0.3715669788706222,20
wildchat_8turn,1,-0.35917744454328254,20
wildchat_8turn,2,-0.28949670832810653,20
wildchat_8turn,3,0.15425023269434157,20
wildchat_8turn,4,0.013658288294492522,20
wildchat_8turn,5,-0.1453456954933601,20
wildchat_8turn,6,-0.005244261248963096,20
wildchat_8turn,7,-0.30686997429707247,20
neutral_continuation_8turn,0,-0.1456296166248217,20
neutral_continuation_8turn,1,-0.21442335287094577,20
neutral_continuation_8turn,2,0.11619065494788297,20
neutral_continuation_8turn,3,0.16114689735535748,20
neutral_continuation_8turn,4,0.05236630568185318,20
neutral_continuation_8turn,5,-0.35687995054097954,20
neutral_continuation_8turn,6,0.11115664941667415,20
neutral_continuation_8turn,7,0.0351476741433515,20
