condition,task_id,rollout_idx,turn_index,role,probe_score,token_index
impossible_numeric_8turn,imp_countdown_156,0,0,user,1.9033291339874268,100
impossible_numeric_8turn,imp_countdown_156,0,0,assistant,1.5686652660369873,615
impossible_numeric_8turn,imp_countdown_156,0,1,user,2.1054368019104004,625
impossible_numeric_8turn,imp_countdown_156,0,1,assistant,-3.461752414703369,1141
impossible_numeric_8turn,imp_countdown_156,0,2,user,4.3565216064453125,1152
impossible_numeric_8turn,imp_countdown_156,0,2,assistant,-1.4013001918792725,1667
impossible_numeric_8turn,imp_countdown_156,0,3,user,-2.093791961669922,1678
impossible_numeric_8turn,imp_countdown_156,0,3,assistant,-1.0983572006225586,2193
impossible_numeric_8turn,imp_countdown_156,0,4,user,0.8069201111793518,2203
impossible_numeric_8turn,imp_countdown_156,0,4,assistant,-0.8112919926643372,2719
impossible_numeric_8turn,imp_countdown_156,0,5,user,4.280807018280029,2730
impossible_numeric_8turn,imp_countdown_156,0,5,assistant,-3.9459962844848633,3246
impossible_numeric_8turn,imp_countdown_156,0,6,user,1.0847245454788208,3256
impossible_numeric_8turn,imp_countdown_156,0,6,assistant,-4.728663444519043,3772
impossible_numeric_8turn,imp_countdown_156,0,7,user,-1.7671289443969727,3783
impossible_numeric_8turn,imp_countdown_156,0,7,assistant,-2.4006400108337402,4298
impossible_numeric_8turn,imp_countdown_156,1,0,user,1.9033291339874268,100
impossible_numeric_8turn,imp_countdown_156,1,0,assistant,-2.515429735183716,616
impossible_numeric_8turn,imp_countdown_156,1,1,user,5.335977077484131,627
impossible_numeric_8turn,imp_countdown_156,1,1,assistant,-1.1395533084869385,1142
impossible_numeric_8turn,imp_countdown_156,1,2,user,-0.7919382452964783,1152
impossible_numeric_8turn,imp_countdown_156,1,2,assistant,-5.279203414916992,1668
impossible_numeric_8turn,imp_countdown_156,1,3,user,-0.6026129126548767,1679
impossible_numeric_8turn,imp_countdown_156,1,3,assistant,-1.9662599563598633,2195
impossible_numeric_8turn,imp_countdown_156,1,4,user,-3.958940029144287,2206
impossible_numeric_8turn,imp_countdown_156,1,4,assistant,1.256126880645752,2722
impossible_numeric_8turn,imp_countdown_156,1,5,user,-0.787192165851593,2733
impossible_numeric_8turn,imp_countdown_156,1,5,assistant,-4.194729328155518,3248
impossible_numeric_8turn,imp_countdown_156,1,6,user,1.5678908824920654,3264
impossible_numeric_8turn,imp_countdown_156,1,6,assistant,-3.437643051147461,3780
impossible_numeric_8turn,imp_countdown_156,1,7,user,-3.6637539863586426,3791
impossible_numeric_8turn,imp_countdown_156,1,7,assistant,-0.5289807915687561,4307
