condition,persona,readout,mean,se,n
benign_helpful,default,asst_eot,3.794039708375931,0.9227903054761852,10
benign_helpful,default,user_eot,0.32477797865867614,0.7522924895804075,10
benign_helpful,sadist,asst_eot,-2.5403991460800173,0.9546209001190347,10
benign_helpful,sadist,user_eot,-3.0725398004055022,0.7839843622112346,10
benign_evil,default,asst_eot,-5.827669143676758,0.4989798995890115,10
benign_evil,default,user_eot,-3.077604728937149,0.4377007575774057,10
benign_evil,sadist,asst_eot,-3.667614924907684,0.6399150486156785,10
benign_evil,sadist,user_eot,-4.187805604934693,0.25093576573646104,10
harmful_refused,default,asst_eot,-1.9806644856929778,0.2879029609602454,10
harmful_refused,default,user_eot,-6.256609582901001,0.4723021479213382,10
harmful_refused,sadist,asst_eot,-3.303152346611023,0.1498838235442944,10
harmful_refused,sadist,user_eot,-4.572710561752319,0.34771652384144813,10
harmful_obliged,default,asst_eot,-6.1269408702850345,0.3392603137418035,10
harmful_obliged,default,user_eot,-5.442800092697143,0.3884843156548819,10
harmful_obliged,sadist,asst_eot,-2.599306493997574,0.41567209818611084,10
harmful_obliged,sadist,user_eot,-2.0272853821516037,0.5544089301922382,10
