cell,n_pairs,test_retest,flip_rate,refusal_rate,mean_response_chars,agreement_vs_b0,ks_pa_vs_b0,ks_pa_pvalue,mean_abs_dev_b0,mean_abs_dev_cell,d_mean_abs_dev
A_L25_probe,955,0.9825479930191973,0.29392624728850325,0.020244328097731246,256.39450261780104,0.9903640256959315,0.010649627263045794,0.9999999991445027,0.49503017394391197,0.4957401490947817,0.000709975150869735
A_L25_random0,100,0.96,0.3020833333333333,0.01666666666666672,260.2375,0.979381443298969,0.030612244897959183,0.9999999999933219,0.5,0.4829931972789115,-0.01700680272108851
A_L25_random1,100,0.9933333333333334,0.3877551020408163,0.020000000000000018,260.6125,0.8556701030927835,0.07216494845360824,0.963765833846802,0.5,0.4965635738831616,-0.0034364261168384203
A_L25_random2,100,0.98,0.30526315789473685,0.026666666666666616,265.1275,0.9690721649484536,0.020618556701030927,0.9999999999999996,0.5,0.493127147766323,-0.006872852233677007
A_L25_random3,100,0.98,0.3368421052631579,0.033333333333333326,259.2025,0.9479166666666666,0.02040816326530612,1.0,0.5,0.49659863945578236,-0.0034013605442176353
A_L25_random4,100,0.9933333333333334,0.3541666666666667,0.030000000000000027,259.62,0.9690721649484536,0.030927835051546393,0.999999999991141,0.5,0.49656357388316147,-0.0034364261168385313
A_L32_probe,955,0.9825479930191973,0.2909880564603692,0.020593368237347254,256.37486910994767,0.9924892703862661,0.007470651013874066,1.0,0.4950195659907506,0.49501956599075064,5.551115123125783e-17
A_L32_random0,100,0.98,0.3917525773195876,0.023333333333333317,259.2725,0.9690721649484536,0.041237113402061855,0.9999981341893321,0.5,0.49312714776632305,-0.0068728522336769515
A_L32_random1,100,0.9733333333333334,0.4105263157894737,0.033333333333333326,253.51,0.90625,0.11224489795918367,0.5699456818290308,0.5,0.49319727891156456,-0.006802721088435437
A_L32_random2,100,0.9866666666666666,0.3958333333333333,0.030000000000000027,260.0025,0.9690721649484536,0.041237113402061855,0.9999981341893321,0.5,0.49312714776632305,-0.0068728522336769515
A_L32_random3,100,0.98,0.3894736842105263,0.030000000000000027,259.12,0.9690721649484536,0.05154639175257732,0.9995863742135663,0.5,0.4896907216494845,-0.010309278350515483
A_L32_random4,100,0.9933333333333334,0.3541666666666667,0.030000000000000027,259.185,1.0,0.010309278350515464,1.0,0.5,0.4965635738831616,-0.0034364261168384203
B0,955,0.9846422338568935,0.28679653679653677,0.020244328097731246,256.49895287958117,,,,,,
B_two_probe,955,0.9846422338568934,0.2950108459869848,0.022338568935427627,256.77486910994764,0.9903536977491961,0.010660980810234541,0.999999999123509,0.4950248756218905,0.4968017057569296,0.001776830135039098
B_two_random0,100,0.98,0.35106382978723405,0.030000000000000027,260.0175,0.9484536082474226,0.05154639175257732,0.9995863742135663,0.5,0.4896907216494845,-0.010309278350515483
B_two_random1,100,0.9533333333333333,0.5416666666666666,0.033333333333333326,258.04,0.8229166666666666,0.1958762886597938,0.04816170765267925,0.5,0.4828178694158075,-0.01718213058419249
B_two_random2,100,0.98,0.4606741573033708,0.10333333333333339,255.95,0.9,0.1,0.7621246306663781,0.5,0.5,0.0
B_two_random3,100,0.96,0.5051546391752577,0.023333333333333317,257.375,0.865979381443299,0.16494845360824742,0.14303028232674675,0.5,0.4828178694158075,-0.01718213058419249
B_two_random4,100,0.9866666666666667,0.3684210526315789,0.040000000000000036,261.0425,0.9479166666666666,0.0625,0.992546501319539,0.5,0.4930555555555555,-0.006944444444444475
C_band_probe,955,0.9804537521815008,0.29392624728850325,0.0216404886561955,256.18664921465967,0.9860365198711063,0.012806830309498399,0.9999990803037025,0.4950195659907506,0.4935965848452508,-0.0014229811454997687
C_band_random0,100,0.9866666666666666,0.30927835051546393,0.020000000000000018,261.5575,0.979381443298969,0.020618556701030927,0.9999999999999996,0.5,0.493127147766323,-0.006872852233677007
C_band_random1,100,0.9466666666666668,0.4945054945054945,0.050000000000000044,252.0825,0.7526881720430108,0.15625,0.19229768972847908,0.5,0.4826388888888889,-0.017361111111111105
C_band_random2,100,0.9933333333333334,0.35789473684210527,0.040000000000000036,262.82,0.9479166666666666,0.041666666666666664,0.999997825334528,0.5,0.49652777777777785,-0.0034722222222221544
C_band_random3,100,0.9866666666666667,0.4,0.040000000000000036,259.33,0.9375,0.0625,0.992546501319539,0.5,0.4930555555555555,-0.006944444444444475
C_band_random4,100,0.9866666666666667,0.3645833333333333,0.026666666666666616,257.2875,0.9484536082474226,0.061855670103092786,0.9930097588869066,0.5,0.49656357388316147,-0.0034364261168385313
