target,mode,train_persona,train_size,layer,eval_persona,cohen_d,auc,n_pos,n_neg
harm,default_sweep,default,1000,25,default,7.85600589197725,0.999904,250,250
harm,default_sweep,default,1000,25,helpful_assistant,6.976220596543069,0.9998079999999999,250,250
harm,default_sweep,default,1000,25,sadist,4.449567345865224,0.9987199999999999,250,250
harm,default_sweep,default,1000,25,villain,4.645213131095172,0.9998239999999999,250,250
harm,default_sweep,default,1000,25,pathological_liar,4.383756402438669,0.999104,250,250
harm,default_sweep,default,1000,25,Aura,4.541354249659318,0.999888,250,250
harm,default_sweep,default,1000,25,mathematician,5.198713277288138,0.999584,250,250
harm,default_sweep,default,1000,25,neutral_long,5.054094980986958,0.999664,250,250
harm,default_sweep,default,1000,32,default,8.8982945224342,0.999968,250,250
harm,default_sweep,default,1000,32,helpful_assistant,8.181840155211944,0.999984,250,250
harm,default_sweep,default,1000,32,sadist,3.087724847610214,0.991616,250,250
harm,default_sweep,default,1000,32,villain,4.556545603394591,0.9987360000000001,250,250
harm,default_sweep,default,1000,32,pathological_liar,4.802914462912684,0.998704,250,250
harm,default_sweep,default,1000,32,Aura,3.8671779995018407,0.993744,250,250
harm,default_sweep,default,1000,32,mathematician,3.685489908295826,0.995312,250,250
harm,default_sweep,default,1000,32,neutral_long,4.991204238991692,0.9992,250,250
harm,default_sweep,default,1000,39,default,8.885279885912123,1.0,250,250
harm,default_sweep,default,1000,39,helpful_assistant,8.25427250564489,1.0,250,250
harm,default_sweep,default,1000,39,sadist,2.7608726017538405,0.9832160000000001,250,250
harm,default_sweep,default,1000,39,villain,3.8472574447385135,0.997184,250,250
harm,default_sweep,default,1000,39,pathological_liar,4.407303748608633,0.999024,250,250
harm,default_sweep,default,1000,39,Aura,3.4672589622655905,0.9906400000000001,250,250
harm,default_sweep,default,1000,39,mathematician,4.823835948296675,0.998896,250,250
harm,default_sweep,default,1000,39,neutral_long,5.44400267233031,0.999312,250,250
harm,default_sweep,default,1000,46,default,8.410311190025167,0.999984,250,250
harm,default_sweep,default,1000,46,helpful_assistant,7.308306432922487,0.99992,250,250
harm,default_sweep,default,1000,46,sadist,2.6810303024264086,0.980464,250,250
