model,persona,layer,depth_frac,n_intersection,utility_corr,r_DD,r_PP,r_DP,r_PD,gap_persona_target,gap_default_target
Qwen-3.5-122B,aura,33,0.6875,6000,-0.02109835542613949,0.5292638275918726,0.41271735785521524,0.41407967954631886,0.519544509766255,-0.0013623216911036184,0.009719317825617635
Qwen-3.5-122B,aura,38,0.7916666666666666,6000,-0.02109835542613949,0.5420283676404558,0.42815830618487705,0.4257202745922462,0.534295935656296,0.0024380315926308405,0.007732431984159849
Qwen-3.5-122B,aura,43,0.8958333333333334,6000,-0.02109835542613949,0.5365432564355862,0.4422307657992798,0.41752311706394873,0.5234333147422623,0.024707648735331045,0.013109941693323912
Qwen-3.5-122B,contrarian,33,0.6875,6000,-0.05569961134399898,0.5292638275918726,0.5279574832149037,0.5225914623676238,0.5207778477894378,0.005366020847279884,0.008485979802434818
Qwen-3.5-122B,contrarian,38,0.7916666666666666,6000,-0.05569961134399898,0.5420283676404558,0.5481469045804224,0.5242171060868273,0.5339864809389762,0.02392979849359511,0.00804188670147965
Qwen-3.5-122B,contrarian,43,0.8958333333333334,6000,-0.05569961134399898,0.5365432564355862,0.5468610048322633,0.5097372791852398,0.5288740442852329,0.03712372564702349,0.007669212150353322
Qwen-3.5-122B,mathematician,33,0.6875,6000,0.21847542488277302,0.5292638275918726,0.7974056912301803,0.7998775505854319,0.5207305305040442,-0.0024718593552515156,0.008533297087828462
Qwen-3.5-122B,mathematician,38,0.7916666666666666,6000,0.21847542488277302,0.5420283676404558,0.7998812084756324,0.7994884174308359,0.5327774280578472,0.0003927910447965033,0.009250939582608586
Qwen-3.5-122B,mathematician,43,0.8958333333333334,6000,0.21847542488277302,0.5365432564355862,0.8014928901807605,0.8025593880446827,0.5242990637925831,-0.0010664978639222111,0.012244192643003138
Qwen-3.5-122B,sadist,33,0.6875,6000,0.08464890601222977,0.5292638275918726,0.21423346083382844,0.20985217126056932,0.5152792152381797,0.004381289573259117,0.013984612353692971
Qwen-3.5-122B,sadist,38,0.7916666666666666,6000,0.08464890601222977,0.5420283676404558,0.2038613437475419,0.21302876607917573,0.5307999946712028,-0.00916742233163384,0.011228372969253053
Qwen-3.5-122B,sadist,43,0.8958333333333334,6000,0.08464890601222977,0.5365432564355862,0.20236107972718198,0.21321508282320475,0.5263642839780095,-0.010854003096022774,0.010178972457576707
Qwen-3.5-122B,slacker,33,0.6875,6000,0.18429787237915835,0.5292638275918726,0.6469802039310443,0.6452326268028397,0.5136995136279616,0.0017475771282046138,0.015564313963911003
Qwen-3.5-122B,slacker,38,0.7916666666666666,6000,0.18429787237915835,0.5420283676404558,0.6554162995715908,0.6466364503931084,0.5280523209082685,0.008779849178482402,0.01397604673218733
Qwen-3.5-122B,slacker,43,0.8958333333333334,6000,0.18429787237915835,0.5365432564355862,0.6587261769654698,0.6430338511232907,0.5223676494978319,0.015692325842179056,0.014175606937754326
Qwen-3.5-122B,strategist,33,0.6875,6000,0.019659349624168647,0.5292638275918726,0.16933742033676005,0.16344469202753018,0.5166135407862297,0.005892728309229878,0.012650286805642952
Qwen-3.5-122B,strategist,38,0.7916666666666666,6000,0.019659349624168647,0.5420283676404558,0.18073915810161684,0.15846645020184497,0.5398584648056047,0.02227270789977187,0.0021699028348510785
Qwen-3.5-122B,strategist,43,0.8958333333333334,6000,0.019659349624168647,0.5365432564355862,0.19405641399302406,0.16441556221972886,0.5266598948009149,0.0296408517732952,0.009883361634671295
