task_id,mu,sigma
wildchat_406,0.0,0.4316958017411666
wildchat_441,0.10311659507504606,0.7039907894320387
wildchat_510,1.6365054011767268,0.31797482114166975
wildchat_1291,2.9133226933265464,4.389639847590112
wildchat_1503,-1.2447990258715527,2.500928814978557
wildchat_3124,-2.6871776038583386,5.719970670825041
wildchat_3548,2.492634716317484,0.33635082841557074
wildchat_4061,0.04814871391230758,1.6294866951894937
wildchat_4155,0.03842400447299626,3.7102862414689057
wildchat_5183,0.4251482990256691,0.2967192633193296
wildchat_5652,-2.412553513513252,0.19215928373944696
wildchat_6084,-3.8209582339959534,0.23362019199520756
wildchat_6142,-0.8854784076311054,0.34818212960946066
wildchat_6282,4.449025384214936,1.6165922704111901
wildchat_7145,-0.31175467979341914,3.207051609392152
wildchat_7315,-0.1110326548592286,0.21902148694344836
wildchat_7464,-3.2039442345613334,0.23725443668084298
wildchat_9184,0.15697675124989988,1.7077941234139113
wildchat_10152,-0.17252310343834143,0.23371597516145134
wildchat_11267,0.1984659359370114,0.6480240296909691
wildchat_11507,-2.6096453193548115,2.875628806725063
wildchat_12398,-4.628109450358143,0.3552916795408706
wildchat_13457,-2.9676876685353886,6.27620864849105
wildchat_13504,0.35903130893549107,0.3281936927672251
wildchat_14496,-1.724326953858398,0.8791939679537345
wildchat_14710,-1.0238070953182261,3.1749841969764803
wildchat_15203,-1.8923183064438858,0.4657328878208579
wildchat_15349,-2.1553731545562345,1.9390027210704368
wildchat_16603,-2.956735651579338,1.7484411206761603
wildchat_18347,-3.374507174884569,0.48918666392422827
wildchat_19444,-2.164855346707123,1.2810020772969866
wildchat_20473,1.859997701680121,0.34347125640680487
wildchat_20624,-1.8427758486092272,3.6500013136168534
wildchat_21058,0.6788366643454872,2.74934949828883
wildchat_21129,-2.4182898532794797,0.2932498972573262
wildchat_21251,-1.9520661168848465,0.7161480078295855
wildchat_23016,-2.23229353173438,0.4604963010178133
wildchat_23166,2.452806843834051,0.3431526793270976
wildchat_23391,-3.4167416616901582,0.33227344501563355
wildchat_24013,-3.424550634202918,0.19949804827945303
wildchat_24515,-3.7988676250159514,2.637722020873847
wildchat_25557,-0.7918622443355321,6.7573120132461995
wildchat_26191,-1.012691141070498,3.275898128697846
wildchat_26649,4.590787640320596,3.4944430421368273
wildchat_29065,-3.4062217929719147,0.20131899308322526
wildchat_30034,-1.8595755673463226,2.553700124713118
wildchat_30309,-5.072613536745891,2.052224116225862
wildchat_31459,-2.5245128631605134,0.2023699257844176
