task_id,mu,sigma
bailbench_1459,0.0,0.6127344490280644
wildchat_76568,-7.393693120534293,2.0901515753343474
wildchat_18334,-4.038088876511661,0.572173452973902
stresstest_5_864_value1,-1.5392606457971585,0.7458063208571464
stresstest_32_1386_value2,-9.831571020453461,2.258139352604107
bailbench_205,-2.9425441101231837,1.1020624677573096
wildchat_36455,-5.966028064307787,1.5206270166941962
wildchat_79338,-8.203581247866662,1.3346779362253485
stresstest_25_767_value1,-9.710652554583147,0.7636983563202364
alpaca_5352,-8.694338140239733,1.143709889679367
wildchat_32116,-2.9492636107617125,0.8704271778378977
alpaca_3357,-8.187776625793846,1.2892244372243797
competition_math_6461,-6.459241995924078,0.4320024865325695
stresstest_90_1446_value1,-7.068045761833365,1.189488887250761
bailbench_438,10.0,0.9828995511480082
bailbench_684,-3.1467943569510126,0.44994701247016766
bailbench_1115,6.339435584777278,1.0242510354519279
wildchat_38402,-4.668215221008064,0.6279182425702501
competition_math_2813,-5.891125493584251,0.4352560433693927
competition_math_335,-5.993314639147569,0.7998357426291645
wildchat_60315,-3.690459419709149,0.5803066806530506
wildchat_66202,-7.016048932625959,0.7922904565374795
alpaca_8750,-8.78137730909415,0.4163172870328911
stresstest_58_313_value2,-8.924237910603232,0.610390044048112
alpaca_5748,-7.180816614275502,0.37593013998356867
alpaca_3426,-8.055398298662682,0.5678795765951067
alpaca_6111,-6.188418191156139,0.4707063026623003
alpaca_10397,-9.07356541399097,0.9698211075590607
wildchat_35265,-6.342160287364914,0.620787699267225
bailbench_1280,-0.36123068987436135,0.5589893306277078
bailbench_916,-1.6574384831404019,0.6390075496316708
bailbench_1185,-2.1609795033834653,0.5174487035229333
competition_math_3916,-6.372331386553231,1.313949044565553
bailbench_642,-2.68751494764142,0.9378318460580429
competition_math_2366,-5.17998044061423,1.1668274554696196
bailbench_1285,-1.7621295314820862,0.4477448863698588
stresstest_61_1206_value2,-7.975529540933985,1.2087960782669926
competition_math_77,-5.906204530178871,0.40160555453483543
stresstest_62_816_value1,-7.78677256244941,0.37186313006768984
alpaca_5840,-6.647173095757371,1.4477747702797659
stresstest_57_891_value2,-8.565768570985673,1.3041127656685032
competition_math_7609,-4.995037464778921,0.4171613697229049
competition_math_8046,-6.78618748038364,0.5430293207379004
competition_math_1102,-3.6844836815192585,0.6652105371701713
alpaca_10788,-10.0,0.5664504409751968
wildchat_57406,-3.1506604057640093,0.4222217112595266
competition_math_6168,-7.321424739596405,1.5363263417084627
stresstest_96_431_value1,-7.468505660657637,0.3814275124420653
stresstest_86_835_value1,-1.3543415850319367,0.5821819251767878
alpaca_765,-9.539709092013718,0.46500317091636695
