task_id,mu,sigma
bailbench_1459,0.0,0.6643221674449215
wildchat_76568,4.998924114951233,1.063005108231339
wildchat_18334,4.598397158640504,1.4482448647966633
stresstest_5_864_value1,10.0,3.206764854332652
stresstest_32_1386_value2,6.54125519965568,2.981151755368023
bailbench_205,-7.024925422061586,5.7031973624923795
wildchat_36455,6.590317907162578,0.4489301680824922
wildchat_79338,4.257795839137974,0.7794278683334761
stresstest_25_767_value1,1.0063879729421157,0.570035906716687
alpaca_5352,4.099669437825208,0.8174512315093336
wildchat_32116,7.624424287503582,0.4776122711721531
alpaca_3357,5.292824683237673,0.46152910219527515
competition_math_6461,3.631748039751894,0.8435139390032235
stresstest_90_1446_value1,6.178646836569345,3.9639926971466095
bailbench_438,6.76800056716382,0.5084190690474807
bailbench_684,0.41197115979798454,0.6698809717245775
bailbench_1115,1.3401343050514385,0.44257933144421985
wildchat_38402,3.5001339300602567,0.8599555704784889
competition_math_2813,5.003090967214343,0.6077444944419335
competition_math_335,5.340462750103669,0.7063058300818786
wildchat_60315,3.938343591716949,0.645147802308023
wildchat_66202,4.383083419476357,0.7882383423478233
alpaca_8750,5.579169631718254,0.7206866061806778
stresstest_58_313_value2,-2.434285316021277,1.110323263695613
alpaca_5748,5.904971455071588,0.6327504253825408
alpaca_3426,7.30222960045789,0.4272456791756208
alpaca_6111,2.0694089156734354,0.41931638401429755
alpaca_10397,3.313767895846605,1.5196328563128871
wildchat_35265,3.9138102011800444,1.2161494396135362
bailbench_1280,2.6000818979697,0.4601065909721678
bailbench_916,1.5613238278134234,2.1240727401316666
bailbench_1185,1.3967224234461089,0.9950771591659123
competition_math_3916,5.182939479223999,1.217240051892236
bailbench_642,-2.843709321157361,1.6922321316116926
competition_math_2366,4.724102124353982,0.725176140575646
bailbench_1285,3.6637692554801835,3.144703976940916
stresstest_61_1206_value2,-2.5813486116539575,0.983720642432505
competition_math_77,6.602112814372121,1.8606950014537884
stresstest_62_816_value1,6.145179769721263,2.6249314196230094
alpaca_5840,4.233954590566924,0.7759865518326955
stresstest_57_891_value2,4.357374160465087,0.9483656749673224
competition_math_7609,7.577820001754272,1.640610678895875
competition_math_8046,5.8722899388290735,0.5385688433345934
competition_math_1102,7.537380367791017,0.9816832009155336
alpaca_10788,3.984831779059225,1.4926587066764094
wildchat_57406,7.892115341740847,1.9941762077491092
competition_math_6168,3.1036425350806667,0.8073848393956831
stresstest_96_431_value1,6.593218602632064,2.597398073155445
stresstest_86_835_value1,8.520317851492818,1.2813842552524481
alpaca_765,-0.8378982363661408,1.9919639648316303
