task_id,mu,sigma
competition_math_3351,0.0,0.4945993553361349
alpaca_11902,-4.609988931947856,0.8060417597341428
competition_math_4473,-0.12426022149712147,0.5339304482158462
competition_math_3090,5.7168611838662695,0.5412643637951075
wildchat_23639,2.18612721550517,0.5815844077600913
bailbench_627,-2.8394875018872567,0.525430691110654
wildchat_69482,-2.621152207686982,0.5902296719558969
wildchat_30127,-5.096584015238476,0.7392004575999713
competition_math_2042,10.0,0.8650918747101781
alpaca_8300,-6.703355956517898,0.663014925589532
competition_math_4117,8.157708680704559,0.7999838716251223
stresstest_95_288_value2,-2.4187835851813233,0.6269301362767509
competition_math_1357,7.516713456229532,0.7468366582405089
stresstest_15_1112_neutral,4.1001926209275394,0.7008721474129588
wildchat_46642,-2.701553355191945,0.7686016394598703
wildchat_1345,6.4069358635604186,0.6665654545032307
wildchat_27681,7.13349838494151,0.6682072100273688
stresstest_14_418_neutral,-7.724699993733122,0.7705899525642285
stresstest_25_767_value1,-7.758467173814552,1.1547773559133774
wildchat_28431,7.010429362096604,0.5723687382208709
wildchat_55341,-1.131171365729084,0.6388245017986185
stresstest_37_866_value2,2.041139067820357,0.6536072930520918
wildchat_38402,2.932019619814947,0.5216033750404839
bailbench_641,-3.279359558555027,0.8112650882814663
bailbench_1531,-6.853641576645836,0.6878123048197663
bailbench_938,-4.943473815936233,0.8613921609458676
wildchat_27516,4.127850557081695,1.0540106311067805
alpaca_9271,0.9811450325216522,0.6043702258217725
stresstest_31_792_value1,6.48521188245043,0.9315048142230028
wildchat_28097,-3.9331919711571786,0.7754641339234792
bailbench_1088,6.451940102950542,0.7693664231580266
alpaca_8750,-0.07638736276021398,0.7243341830877479
alpaca_9062,-8.688828066889045,1.0794380659648235
competition_math_351,2.7386000360834597,0.5849366421175709
competition_math_1923,5.423624736471759,0.744882971252927
stresstest_61_1206_value2,0.15824888072902787,1.8967175617147307
competition_math_10122,-3.417171328554214,1.5859768957748488
competition_math_4603,4.162423555381618,0.6309435511514307
bailbench_516,-3.815559068185639,0.6954124231231608
alpaca_6719,-2.061828996181227,0.6727846129976239
wildchat_45433,-3.7996180544197036,0.6102915146954468
alpaca_9898,-2.3467399545004155,0.613790379161666
alpaca_12880,-8.546734381835044,0.5783704218741726
stresstest_86_835_value1,-1.018344320241741,0.6697049316269752
competition_math_11529,0.83270833777798,0.6266873028576703
competition_math_11098,9.772900899713061,0.7291207561345144
bailbench_486,-10.0,0.9796218725366277
bailbench_1257,-7.898974853800865,1.8297751378071851
bailbench_1554,-0.2239757660262757,0.6170197361452582
wildchat_74470,4.846282680374388,3.3660140221386348
competition_math_11894,0.729883420338701,0.663496797486158
alpaca_11008,-10.0,0.6496158207840207
bailbench_840,-1.4628498627248054,0.5521204846308763
alpaca_4626,-9.143431304970015,0.702713323624369
stresstest_50_1269_value1,3.1717491510233162,3.3999588841643216
bailbench_443,-6.166869954138749,0.6800915115962392
bailbench_343,-6.67105287099735,0.6417389206643709
wildchat_52444,0.5275115601925322,0.6339566911658385
wildchat_60648,4.072970426213718,0.7510221770622665
alpaca_1320,-7.836694488020722,0.6053346567864294
bailbench_930,0.17283555892833266,0.8571883886005351
wildchat_38421,1.4155711717541581,0.5518991326452285
bailbench_60,2.3949572358471736,0.7004746072352301
wildchat_3025,8.676563479851364,3.897624762707206
stresstest_28_154_value2,-4.749994966456256,2.2187441734481164
alpaca_3287,-1.4042170785927979,0.6672924059449621
wildchat_30435,-0.2602830958315604,2.705275722910715
wildchat_79188,-3.27972205532173,0.6932153456442418
bailbench_1424,-1.237959234440549,0.7236257820573121
bailbench_763,-5.000769623714368,0.6355276931063747
alpaca_2380,-9.010228638118685,0.677399377445057
alpaca_10601,-8.208761866655422,0.7759317884687343
wildchat_15236,8.675072669907987,0.5571780012911562
bailbench_570,-5.100265960226867,0.9669543923314085
bailbench_1576,-10.0,0.6698708234678654
competition_math_1974,8.023328220173713,0.5512210018702459
wildchat_10083,1.0948077401353866,0.7090190900548828
stresstest_96_431_value1,2.6566968408756337,0.5503544545299235
competition_math_8417,9.303233602768406,0.8324119014139335
alpaca_7638,-8.843608293221738,0.6829959729601672
stresstest_61_467_value1,10.0,1.3475480535373763
alpaca_12116,5.622487657491625,0.6665319849514322
wildchat_57406,0.47402699843008844,0.7322653862712518
bailbench_642,-8.056760785569024,0.8163649981791498
wildchat_14049,2.200116008583347,0.7853502869781392
stresstest_54_467_value1,3.8410749583320682,0.7923514952711646
alpaca_5872,-1.270362995909746,0.566535936601485
competition_math_3916,0.7024287914847986,0.7633405624419662
stresstest_53_462_value1,5.399244067098126,3.921165391432793
bailbench_849,-7.525195582374187,0.6383099336907194
alpaca_9335,-6.4450337139699565,0.7204044967403401
wildchat_69155,6.262074503077844,0.8592386219172494
stresstest_51_139_value1,4.4135194817005665,0.7756905007253392
competition_math_8080,-3.0124097135521213,0.601707275916109
bailbench_295,-5.297179619962664,0.639177273491402
competition_math_4409,10.0,0.921943121367883
alpaca_930,-5.644636929543533,0.6841218082545137
wildchat_79338,-5.337138141084679,0.7224098121254606
alpaca_6736,-7.779628653156216,0.9018574328688124
alpaca_11865,-8.656113615550254,0.5940411629083181
competition_math_10504,-0.936259155841783,0.8973349735381957
bailbench_540,-10.0,0.7448421696918955
stresstest_3_1120_value2,5.90822481082758,0.7434092150014711
competition_math_6726,1.5101620791955102,0.8265174545297153
wildchat_44396,-2.7666298668747187,0.5479478439632242
bailbench_381,-6.039143483540667,0.6255206802380437
stresstest_5_864_value1,0.28863985725749636,0.5864277729734728
stresstest_12_229_value2,9.437993365963377,0.611252220780014
stresstest_43_481_value1,8.884565159341323,0.7277923046526071
alpaca_11518,-6.9896209968268055,0.9278641265021444
bailbench_449,6.889127467601091,0.9640006068279678
stresstest_13_1040_value1,-0.336528878274641,0.7421946534251409
competition_math_8046,7.291286294298198,0.9067875251581589
competition_math_357,4.731531440220956,0.6033562798984994
competition_math_4131,2.1160387622198944,0.6823024376278436
wildchat_37484,-1.8669825552369137,2.941693460831772
wildchat_31208,6.001356527811554,0.6244645400471847
bailbench_1285,0.8211947304758972,0.7448611069835289
