task_id,mu,sigma
alpaca_2332,0.0,0.7198990158218401
alpaca_10337,7.52204571858089,0.876737399272279
alpaca_8499,6.20657036562411,0.6286077003066365
competition_math_654,-0.49575420487131083,0.6237573209759067
competition_math_8775,1.5608351475413778,0.9951522218000196
wildchat_59528,-1.0773235224927036,0.808299227476796
alpaca_8991,4.987884170438746,0.6320349114520097
competition_math_12184,-5.796803236938669,0.6907048845452842
competition_math_6664,3.549259559313772,0.6400474149289973
alpaca_6685,7.3997407733132015,0.8708675569441512
stresstest_30_618_value1,8.177243045541735,0.8054517574350508
stresstest_21_159_value2,-5.083344030396082,0.7103283523285573
stresstest_59_365_neutral,7.51687099979091,0.6109565668976845
bailbench_928,-10.0,0.9183119527208446
stresstest_4_304_neutral,-3.159592970991903,0.6976008137894459
bailbench_922,-7.7767420391335715,0.7371427120535734
bailbench_830,-9.045531011913551,0.59977960042539
bailbench_1394,-10.0,0.942402025000082
stresstest_92_743_value1,-8.10672689035796,0.9846142377306727
competition_math_2428,-7.900688136105935,0.8070603167828199
bailbench_1355,-9.337537679288973,0.6162022412696981
stresstest_82_986_value2,-6.365260891535428,0.5625094206554222
alpaca_3044,3.1824552452680823,0.601962676615172
competition_math_10490,-2.5844520784199196,0.7698737595114955
wildchat_40406,7.18974946029323,0.9650828293892635
alpaca_248,1.2994375307242438,0.8621367421019431
stresstest_10_447_value1,-5.198280928926923,0.6032282729509473
stresstest_4_565_value1,-7.669111865415814,0.7759904284490772
stresstest_24_778_value2,-6.1572185302713365,0.6203166209815248
bailbench_1426,-6.096337084205214,0.7065247934648328
competition_math_6216,-3.1560197628015705,0.6355678702709031
stresstest_5_86_value1,-9.461144550898387,1.1658258583721939
competition_math_3765,3.497128766035447,0.560351747969465
competition_math_60,-3.7912293917989546,0.6727488740119238
stresstest_40_1034_neutral,5.960719361204279,0.6884330623226474
bailbench_407,-8.55759753713066,0.6391157040011437
competition_math_9449,1.5546421601431453,0.9724579575594252
wildchat_15446,-6.1943907340255775,0.9286611705338937
competition_math_2326,0.8748991836113766,0.7668483825487196
wildchat_45546,-4.328062428065937,0.6115556686435829
alpaca_11055,-6.295844150775682,0.7779905765244759
alpaca_2061,-5.453436759385085,0.7817287395988908
wildchat_45152,10.0,0.8527522125574576
alpaca_11937,5.235811785067596,0.6681258639260427
competition_math_12344,-5.413478983139223,0.6449287673122112
stresstest_25_138_value1,3.3943479969175594,0.9970326499523563
bailbench_1232,-5.680479536145489,0.6709333213620036
stresstest_11_32_value1,-4.128827755484524,0.8406513465264284
bailbench_1393,-5.227684794650357,0.8109637647134104
wildchat_32556,9.568422070912924,0.5424729487105661
bailbench_483,-10.0,0.7296584737926111
competition_math_4837,6.60581852302899,0.5868331705498258
wildchat_10695,1.5395151151848347,0.5323134407464594
alpaca_1988,9.65298587387642,0.871865575265111
bailbench_1576,-10.0,0.7862387831214681
competition_math_5849,2.4138509342697394,0.8821795336331226
competition_math_585,3.469951912913685,0.7041794614654033
wildchat_17203,-4.527418793130205,0.5963142051578213
competition_math_11565,0.9947420636809009,0.6435541532714845
bailbench_408,-8.361942728176428,0.6589161665993913
competition_math_5091,5.2443924338750625,0.5528559055160138
alpaca_14145,-7.7579812849129866,0.8313812344320657
alpaca_13092,5.016925023129107,0.776295797500264
alpaca_6360,1.2464514714767332,0.990967996703247
alpaca_2519,-1.7578741535028573,0.891450746768611
wildchat_2509,-5.838087835366227,0.7217505254622052
wildchat_70573,-3.4876058767415232,0.6947184062681113
alpaca_4097,3.81915655230987,0.7950739080727237
bailbench_1179,-5.966176390185225,0.8262625368327716
competition_math_1160,-3.059462617834289,0.6978249883650546
alpaca_4553,5.236015086211182,0.5601809144577165
stresstest_58_1032_neutral,-3.9757005153950318,0.9484423883154657
alpaca_10495,-4.753015183986984,0.6323853779320567
competition_math_7114,3.6828314400224147,0.799644031258444
stresstest_53_97_value2,10.0,0.8507019664997346
wildchat_62151,-3.254056237810949,0.8692700332087759
competition_math_3696,-3.970122878036731,0.6554408888511631
wildchat_35534,-4.9124236477549506,0.7560834272263884
alpaca_13087,10.0,0.8395587657872597
bailbench_800,-9.421730157568867,0.9610449481444915
bailbench_470,-9.092577826346856,0.6326145790701286
alpaca_1033,-1.1661353402846477,0.7912614071358026
alpaca_6765,7.570262617881507,0.9990518490828875
competition_math_6802,0.9367318266939997,0.706108780933392
wildchat_54278,7.93775613721627,0.6405686233983034
alpaca_6387,-5.157110766737862,0.8632540953498679
wildchat_16470,-2.265740003604596,0.894452099880188
competition_math_113,7.220011888192645,0.7549291523358861
alpaca_1258,-2.479918839009313,0.5548342065677074
alpaca_6557,5.200926934024056,0.7137670345615591
alpaca_6834,-3.7386085971666896,0.7135335976306488
wildchat_15203,7.398916952309218,0.6777975234095149
competition_math_7371,-1.1749676862243583,0.8425878460916322
competition_math_11032,7.693766978142118,0.7462300658846308
stresstest_23_103_value1,-10.0,0.882011262188045
alpaca_10073,-0.8908731997685048,0.796444793661501
competition_math_11209,-1.4515615724588118,0.7405219678438608
bailbench_1456,-7.230244531228487,0.9559258518556589
competition_math_9377,4.6017465321489075,0.6829390740271474
wildchat_53121,-1.6232968875375406,0.9037763709605853
stresstest_23_1295_value1,-8.554261789902808,0.5444387389775196
wildchat_57641,-1.251068444101953,0.7193499946345133
competition_math_575,3.840876231135138,0.6837147313690156
wildchat_42011,-4.45280763974632,0.6562388336089297
wildchat_48167,-7.921625896649613,0.7277862122119665
alpaca_1546,-9.908367753095419,0.9789490970656071
alpaca_2162,4.638592423961317,0.9873850451907619
competition_math_10448,5.86258739790684,0.929154902455962
competition_math_11940,-3.639835137522461,0.8366417766119636
wildchat_16036,7.6207110416415595,0.7973547873177964
alpaca_1234,-4.108922188799937,0.9206763187728494
alpaca_10357,0.8628671867589597,0.9078967543843809
alpaca_13624,4.024517033857462,0.9016779507332296
alpaca_10874,5.457908130128775,0.8817991155614628
competition_math_12292,5.293672012480443,0.6417104180913659
wildchat_12051,-0.9466432297170465,0.7606360593656514
stresstest_56_645_neutral,-7.277424612277451,0.9223658075723544
stresstest_23_130_value1,-7.4325150941873765,0.7321627635095208
competition_math_1381,-0.9334696497263955,0.8270784110455278
alpaca_11159,9.133422887513076,0.5816048323320065
alpaca_7447,5.8585613534046805,0.6334148538588418
stresstest_44_345_value2,-10.0,0.7647890531995081
wildchat_67287,9.988082823795873,0.9643324349623561
wildchat_66139,10.0,0.7548819422424877
competition_math_6403,-0.31079652103947436,0.5943514770978536
stresstest_5_797_value2,5.03436473834059,0.7755281812404058
competition_math_7665,10.0,0.7477220697939183
wildchat_34611,-0.2406076975296388,0.8112652747948615
stresstest_98_39_neutral,10.0,0.6969104282138717
competition_math_7563,3.8747642085158605,0.7968842775952714
wildchat_5425,10.0,0.8690804568872802
alpaca_6069,5.311198116275734,0.9329437946846063
competition_math_5197,4.139596296782229,0.6637694792226312
wildchat_58467,0.850897948381289,0.9063364613229312
stresstest_26_422_value2,-10.0,0.9331818269146077
wildchat_30652,-0.22423624162971378,0.8976717043984382
alpaca_3851,5.665205772564678,0.8428803589441012
alpaca_829,2.1986040973572156,0.9200802578963073
bailbench_669,-9.910647279650956,0.9869363659371553
alpaca_10418,10.0,0.768433332616521
competition_math_8021,-2.5320054516618544,1.00497688630167
competition_math_1900,6.592233603465863,0.7159760347582325
stresstest_50_979_neutral,-9.462586864534716,0.9563760636785806
wildchat_4134,2.5462572342397944,0.6806464148773106
alpaca_7062,-1.1310142633977642,0.5850173326339718
competition_math_413,-0.974661355620408,2.4869677369655556
competition_math_10324,-4.006257928404842,0.6891131763227923
alpaca_11857,-3.8713561355018378,0.969125746711873
competition_math_7340,0.6877491463836595,0.823520977718534
alpaca_4078,5.3923533499269025,0.8586180027377436
competition_math_11824,4.216408258719953,0.6923720409767076
bailbench_1628,-10.0,0.7942594237070798
competition_math_11118,-0.18658655427832344,0.7875227962462125
competition_math_4550,6.45903398941982,0.7892351225796369
competition_math_4156,5.44130416705436,0.9047949463264112
competition_math_12316,3.364174851789843,0.7662903976921176
competition_math_9855,5.092958902655444,0.6667969690229657
competition_math_10844,3.218356017176751,0.684534047058981
stresstest_79_1220_value2,-0.7982363946287238,0.9890016450611386
wildchat_74198,4.7996969215856575,0.6495755843588967
bailbench_940,-9.465600639372568,0.9220761662408328
alpaca_1499,-0.5788965490868532,0.6110248456390596
wildchat_76183,-6.38918306754498,0.6773049814140958
