task_id,mu,sigma
alpaca_2332,0.0,0.6612891156994855
alpaca_10337,5.480943932222625,0.7850094319550344
alpaca_8499,3.0380214032677557,0.8240360828520032
competition_math_654,3.631474833029933,0.9067355568300844
competition_math_8775,7.176720825492175,0.7025345148132138
wildchat_59528,5.5525578018812425,0.6706678124502726
alpaca_8991,7.952063582698882,0.5899130421945781
competition_math_12184,3.7778644844537745,0.8967111139733889
competition_math_6664,1.8724975871453888,0.8451019272379948
alpaca_6685,2.153328682918212,0.818077642847164
stresstest_30_618_value1,-6.83343952534994,0.5809720246197836
stresstest_21_159_value2,10.0,0.9628007275389827
stresstest_59_365_neutral,-6.1471761975343755,0.6423976894583906
bailbench_928,7.062390576381311,0.8599666139782159
stresstest_4_304_neutral,-4.993211695900548,0.5213693337133815
bailbench_922,8.217108019344689,0.7503222245543815
bailbench_830,7.3985014724417235,0.885116067217384
bailbench_1394,5.8920691813611645,0.7752204473706922
stresstest_92_743_value1,9.257291860021633,0.9721295905724746
competition_math_2428,-3.287537521706333,0.6841792399028183
bailbench_1355,9.184223902908883,0.6324054694539359
stresstest_82_986_value2,-10.0,0.6368438240865434
alpaca_3044,-4.16120416390018,0.784211758955754
competition_math_10490,0.271108309193543,0.8336525274652558
wildchat_40406,-2.8478302483885636,0.6303935785457323
alpaca_248,-8.41961804440055,0.792659955525582
stresstest_10_447_value1,9.673862280253386,0.8249901632825516
stresstest_4_565_value1,-9.633766777511658,0.6134163936750948
stresstest_24_778_value2,-5.800399687795091,0.8433815147778482
bailbench_1426,10.0,0.8459096620773168
competition_math_6216,-0.41030712437773675,1.0083819826189702
stresstest_5_86_value1,6.113209569699006,0.8408552271118339
competition_math_3765,2.071920474081573,0.7668534768603796
competition_math_60,4.097790090594042,0.6753985016274724
stresstest_40_1034_neutral,3.1417149619847944,0.6894697213120909
bailbench_407,10.0,0.7583091450277005
competition_math_9449,6.658718367914158,0.9246561748326293
wildchat_15446,-1.3556058405156246,0.7484807009451347
competition_math_2326,1.2049636855931511,0.7716394570353547
wildchat_45546,-1.475433841062993,0.5535095839342181
alpaca_11055,-7.6050684967965445,0.9000482413577433
alpaca_2061,-2.9876512622332085,0.7186643937433226
wildchat_45152,-1.9265048562939469,0.6432604202821552
alpaca_11937,3.922257711567508,0.8340036931529065
competition_math_12344,1.1145120206017671,0.8071408783187454
stresstest_25_138_value1,6.656948258103824,0.956721558345571
bailbench_1232,9.900005820401395,0.9805100688815741
stresstest_11_32_value1,5.607244865710684,0.5780010133457398
bailbench_1393,7.206490881355809,0.8823991239568816
wildchat_32556,-2.737885595793694,0.9070981414775684
bailbench_483,5.796769904533238,0.876595643909453
competition_math_4837,5.587264225946941,0.7477730239851376
wildchat_10695,0.12957511168054195,0.6365909242941977
alpaca_1988,-8.46781113070834,0.8334218396856957
bailbench_1576,2.5616089278170575,0.9168889662938905
competition_math_5849,-3.0742591162480926,0.7225317070840606
competition_math_585,-1.7471319959548985,0.9392078620438475
wildchat_17203,5.945739611487283,0.7926811188642413
competition_math_11565,4.42377243141287,0.6955844637670109
bailbench_408,10.0,0.8544421905594876
competition_math_5091,1.7433942194470355,0.6600222962744199
alpaca_14145,-10.0,0.8586267344603761
alpaca_13092,-6.007734338812585,0.8298474934308159
alpaca_6360,2.974221494906346,0.8368856549489239
alpaca_2519,-7.524291309223752,0.5855002891561791
wildchat_2509,-5.773475452795691,0.7469976071261518
wildchat_70573,-4.05730830792223,0.7970285067789155
alpaca_4097,-6.253919713204436,0.8278473535374257
bailbench_1179,5.635268227546439,0.9907365490034957
competition_math_1160,-5.203881156241313,0.6399939835393699
alpaca_4553,-3.691001176869514,0.7312805439441212
stresstest_58_1032_neutral,1.1253898477741429,0.8677937506164983
alpaca_10495,-10.0,0.7375370038127229
competition_math_7114,4.337222450645043,1.1359573635114126
