task_id,mu,sigma
alpaca_2332,0.0,0.7395793903303794
alpaca_10337,-2.500110454235182,0.78793451819103
alpaca_8499,-1.0216194156518827,0.8093033681529296
competition_math_654,5.377067245771479,0.7632644406422715
competition_math_8775,9.178433381305233,0.6649706938947288
wildchat_59528,1.6283440535445473,0.6957997603695656
alpaca_8991,-7.208436303827133,0.808315788360886
competition_math_12184,6.582737450565587,0.6676745597035749
competition_math_6664,6.328366399898872,0.6289009137808161
alpaca_6685,-1.5114012222122366,0.8367702407317588
stresstest_30_618_value1,0.9996852941201512,0.9650228638367685
stresstest_21_159_value2,-7.294247191201751,0.8819040734415373
stresstest_59_365_neutral,-5.008637077298105,0.7043623948885619
bailbench_928,-6.534569822779312,0.6908482981574247
stresstest_4_304_neutral,-3.2903078122488663,0.7572854459782926
bailbench_922,-7.417139434924756,0.6255000394139681
bailbench_830,-8.623472466711148,0.9500943605630285
bailbench_1394,-4.729075398811313,0.8279314776949964
stresstest_92_743_value1,2.672157326502228,0.9752026968489833
competition_math_2428,4.930685240071508,0.7747752304932202
bailbench_1355,-5.651594833061172,0.944521980604585
stresstest_82_986_value2,1.4625622431031788,0.7111456422591805
alpaca_3044,-4.147253264512654,0.7111383897900165
competition_math_10490,10.0,0.7873770985478353
wildchat_40406,-3.355899121499143,0.9016096626574456
alpaca_248,1.0695400111698492,0.9097143064837165
stresstest_10_447_value1,-1.9806180750177502,0.67679834563516
stresstest_4_565_value1,2.555401520683579,0.8458542430968753
stresstest_24_778_value2,1.1264079140283827,0.8089742868368731
bailbench_1426,-3.570661251559476,0.7849514035593076
competition_math_6216,4.757583136057238,0.9984030894902151
stresstest_5_86_value1,4.479298316383742,0.9936744146814911
competition_math_3765,6.856514844135683,0.9595750472125362
competition_math_60,3.8031914953229022,0.8738231884116264
stresstest_40_1034_neutral,-7.358494770921618,0.867894836645042
bailbench_407,-6.03901498104887,0.8528761960060074
competition_math_9449,10.0,0.7659710257571049
wildchat_15446,-0.03541113167090242,0.9967013850586104
competition_math_2326,8.03682169957138,0.7983769087430782
wildchat_45546,-1.555921207248328,0.6759065480252365
alpaca_11055,5.7432697886118484,0.8374527745892817
alpaca_2061,2.5420944526967677,0.787941617596861
wildchat_45152,-10.0,0.8764976085300981
alpaca_11937,4.616335391756434,0.7811511470578962
competition_math_12344,4.662066169522847,0.9317420827808361
stresstest_25_138_value1,-6.342026156473959,0.6457438479436043
bailbench_1232,-2.1130225786568237,0.8027888088634376
