task_id,mu,sigma
alpaca_2332,0.0,0.6321114208725158
alpaca_10337,-1.7835647066799762,0.838019185239911
alpaca_8499,1.1429110089477237,0.8627391275585848
competition_math_654,6.403191689923071,0.7606730807438706
competition_math_8775,10.0,0.8329226469411833
wildchat_59528,2.591982541165691,0.6726616451823169
alpaca_8991,-2.8439729547050634,0.8166623740656703
competition_math_12184,3.753874943521375,0.7944883187226861
competition_math_6664,4.220665552579148,1.0573159652178592
alpaca_6685,-2.133993159687375,0.9840462189689034
stresstest_30_618_value1,3.7024495004476727,0.6864139140720007
stresstest_21_159_value2,6.561095163952416,1.3297660933597215
stresstest_59_365_neutral,-4.535625283595204,0.6526022197280912
bailbench_928,6.600218864209966,0.7319806947144865
stresstest_4_304_neutral,3.0192697143693916,0.6502955172380759
bailbench_922,9.243393865123357,0.6354404316724983
bailbench_830,-7.308207232800523,0.8661111391597046
bailbench_1394,-7.052485736427545,0.8763820088986805
stresstest_92_743_value1,9.181394352750644,0.9732412881885527
competition_math_2428,-1.768500632539108,0.7175866453383924
bailbench_1355,-8.321461539017626,0.7513683610536225
stresstest_82_986_value2,4.463628442150983,0.6691658443142205
alpaca_3044,-4.922899796588614,1.3713071325495023
competition_math_10490,6.857309129484921,0.9237207758314441
wildchat_40406,0.04169232916519385,0.7518645359904456
alpaca_248,-7.7080171720971355,0.6042881585893218
stresstest_10_447_value1,8.992311448998953,0.6379194820463673
stresstest_4_565_value1,2.938879533157577,0.8448241100497764
stresstest_24_778_value2,2.266981553232685,0.9514232368801621
bailbench_1426,-3.4977252228942404,1.0477805576200896
competition_math_6216,3.5508814034505436,0.6135512772519238
stresstest_5_86_value1,10.0,0.7671733380176333
competition_math_3765,4.550981960320318,0.7133084509423789
competition_math_60,2.093365965938383,0.7830824620089596
stresstest_40_1034_neutral,-6.599940070052668,0.6716456495483007
bailbench_407,-6.908277438318161,0.6416138828166439
competition_math_9449,5.894185324426034,0.9217426875000072
wildchat_15446,3.457361500365449,0.8586633086649458
competition_math_2326,4.922673883967942,0.8910657459493084
wildchat_45546,-2.2603149023805233,0.8113719015505478
alpaca_11055,-2.5295663484743156,0.9630854675656452
alpaca_2061,-3.1839147318138803,0.5853520357698475
wildchat_45152,-2.3153209425250174,0.6715790401174927
alpaca_11937,0.30116945092002023,0.6729699196051091
competition_math_12344,1.532518649582182,0.8755661285450604
stresstest_25_138_value1,-2.088604321413518,0.9476039468021875
bailbench_1232,-10.0,0.8078624253011761
stresstest_11_32_value1,-4.801575729665445,0.9660072201535022
bailbench_1393,-9.954171245177479,0.7688977512559172
wildchat_32556,-2.885611954981077,0.7957743342751833
bailbench_483,-9.07231464344701,0.971099785723767
competition_math_4837,10.0,0.6757274789698149
wildchat_10695,7.047038690225105,0.7785555355096543
alpaca_1988,-8.185167989102355,0.6542385938250724
bailbench_1576,-9.901791424070282,0.7832471061637024
competition_math_5849,6.854171592130956,0.685536995163481
competition_math_585,4.339447992159276,0.9982225070058114
wildchat_17203,1.891015812394504,0.8470784706829044
competition_math_11565,9.783924161213418,0.6291546977150553
bailbench_408,-4.518408684396882,0.7529564973901436
competition_math_5091,8.853099901217565,0.8901527642374445
alpaca_14145,-0.8081493238713603,0.9955342314099406
alpaca_13092,-9.687967003281845,0.9693236264268554
alpaca_6360,1.6182675847159518,0.678419332751267
alpaca_2519,-10.0,0.8774967790801587
wildchat_2509,0.1563608914446723,0.8549452226472679
wildchat_70573,-3.2067158497964185,0.8116131647497438
alpaca_4097,0.8248712772832123,0.9044009322448281
bailbench_1179,-10.0,0.8504321288955439
competition_math_1160,4.497917116688588,0.8614604260745089
alpaca_4553,-7.486359491228761,1.8065055972567945
stresstest_58_1032_neutral,-0.8644881774778405,0.8334166242962743
alpaca_10495,-8.988006571011379,0.6614007795246414
competition_math_7114,10.0,0.7544018404283547
stresstest_53_97_value2,-7.776860598459706,0.6716486525859541
wildchat_62151,5.889624174510379,0.6320193170145324
competition_math_3696,-4.447776757335575,0.9844550759901538
wildchat_35534,8.051685186292984,0.690041938171249
alpaca_13087,-6.485022759474588,0.9295919707394766
bailbench_800,-8.498448786009728,0.9472068917668262
bailbench_470,5.696808114604983,0.749527314556329
alpaca_1033,-0.6725316747971918,0.8361812959719161
alpaca_6765,-3.874883079364733,0.7707852677415314
competition_math_6802,10.0,0.7673367308521442
wildchat_54278,-1.112898952633917,0.9722532686982782
alpaca_6387,-3.8977050172119876,0.9080048107543776
wildchat_16470,-3.6781318177515745,0.8987182855770819
competition_math_113,7.243014231426294,0.8795018941723891
alpaca_1258,-5.62246590284958,0.9900147916813273
alpaca_6557,-10.0,0.7790150453869862
alpaca_6834,-3.215878795466734,0.9369393864345861
wildchat_15203,-7.059005037941337,0.7880524423593014
competition_math_7371,6.968594305261367,0.9968222477763956
competition_math_11032,4.436047335474429,0.6820560384613267
stresstest_23_103_value1,7.623156393772305,0.89705810681004
alpaca_10073,-1.8184773752361025,0.9029916106288742
competition_math_11209,-4.967663030371562,0.6953534906928166
bailbench_1456,7.576380300208144,1.9573515733822897
competition_math_9377,10.0,0.7649359931732596
wildchat_53121,2.140071608016724,1.5852238360725053
stresstest_23_1295_value1,-5.565254348172849,0.80293985144676
wildchat_57641,-1.616640724730906,1.896051076092549
competition_math_575,5.516097573103865,0.7814513194896748
wildchat_42011,-0.14237425675961668,0.972678313562396
wildchat_48167,5.260274299883387,0.8082069292720778
alpaca_1546,-5.003485947555591,0.9988701090672335
alpaca_2162,-3.5834426284973,0.9081559699229544
competition_math_10448,7.414717411685824,0.7704868072992381
competition_math_11940,1.0376993592549162,1.0943316078198617
wildchat_16036,-0.41853841808602293,0.9060388744579642
alpaca_1234,-1.3636527050114382,0.9283274729114988
alpaca_10357,3.1023361828518006,0.9571110651193188
alpaca_13624,0.3442649163773634,0.9841402606487294
alpaca_10874,-3.023080928325605,0.92381326196667
competition_math_12292,3.47145317232681,0.7562949270500541
wildchat_12051,-7.59808261567169,0.6891953853190186
stresstest_56_645_neutral,10.0,0.8196213451219885
stresstest_23_130_value1,9.979652572739557,0.7517501055364338
competition_math_1381,8.814424887054214,0.6275974539093802
alpaca_11159,-1.1140987840532988,0.7640830166985845
alpaca_7447,-0.12179942079698744,0.6950773480775261
stresstest_44_345_value2,-3.7327803065237597,0.8735542060011754
wildchat_67287,5.699878194071456,0.6604003802855127
wildchat_66139,4.11959303438307,0.7183202743424664
competition_math_6403,5.557350303966558,0.6809959669138552
stresstest_5_797_value2,3.9523633630734913,0.695484672122588
competition_math_7665,3.9643047880323308,0.755448598690222
wildchat_34611,-4.659512045294798,0.9153667801930309
stresstest_98_39_neutral,-4.289486789632558,0.5904610126364678
competition_math_7563,7.461212591536835,0.7952164973938383
wildchat_5425,-7.332549606795728,0.7991243449108377
alpaca_6069,-5.411607935838294,0.7824869329750211
competition_math_5197,6.019461790561672,0.7697317280563617
wildchat_58467,-1.9323680545035171,0.7951102060032608
stresstest_26_422_value2,10.0,0.918798653098178
wildchat_30652,-1.5748418722150868,0.6657916258301074
alpaca_3851,-7.952209529136184,0.9325992350895433
alpaca_829,7.1776753768895505,0.7007682273398014
