task_id,mu,sigma
alpaca_2332,0.0,0.7909781839465209
alpaca_10337,2.579125573226325,0.9129092259108144
alpaca_8499,4.303883328415387,0.952922006082135
competition_math_654,-0.09033532521538906,0.7773964765655874
competition_math_8775,-1.5967057487498082,0.8961274950042012
wildchat_59528,6.574718334963705,0.5388247586875973
alpaca_8991,3.977108179129227,0.7605401134943384
competition_math_12184,-0.347309368728753,0.841301562548418
competition_math_6664,-5.2161004021448125,0.9519198372223919
alpaca_6685,5.740474719748405,0.6659155829172323
stresstest_30_618_value1,-7.2431290716634456,0.6320981635167086
stresstest_21_159_value2,-10.0,0.7929257718670372
stresstest_59_365_neutral,-1.5085924667190225,0.823323846234016
bailbench_928,0.5988075120035014,3.4147997187058547
stresstest_4_304_neutral,-7.471263474139522,0.7337040247262816
bailbench_922,-3.6951093228698064,0.8526364814174203
bailbench_830,-10.0,0.7994850580029944
bailbench_1394,-5.394356821358111,0.6181512082073959
stresstest_92_743_value1,-6.470201081777493,0.9377670891128901
competition_math_2428,8.121768161111422,0.9407372371122562
bailbench_1355,-7.875706808863727,0.8765759943246125
stresstest_82_986_value2,-5.665179090735982,0.6266048805471793
alpaca_3044,6.506851598640951,0.8141552774189845
competition_math_10490,-1.1924476837489915,0.7943977773835338
wildchat_40406,4.623140025106998,0.7281051520855568
alpaca_248,10.0,0.8121111426035774
stresstest_10_447_value1,-3.8134994815016414,0.7135286310582015
stresstest_4_565_value1,-9.229998730897883,0.9517088692567979
stresstest_24_778_value2,-9.563420955200419,0.5989016530675865
bailbench_1426,-6.758295033258622,0.8969064417809689
competition_math_6216,7.758621564492286,0.6077518209722528
stresstest_5_86_value1,-8.848112112707968,0.6725318605986484
competition_math_3765,-2.5569634664611423,0.7628038153326766
competition_math_60,-2.1973724414342715,0.9629324174852076
stresstest_40_1034_neutral,-1.2463449008751961,0.8232660876215974
bailbench_407,-7.807320905481045,0.54388353879616
competition_math_9449,3.599346380270781,0.7828552116530013
wildchat_15446,-6.037389850000554,0.7394621214792417
competition_math_2326,7.45323042578438,0.9293705159441376
wildchat_45546,-5.0269014082908425,0.7724850347383387
alpaca_11055,1.6500187785213434,0.6272204409504621
alpaca_2061,6.719382323305185,0.6657063217449047
wildchat_45152,-3.3707613515075248,0.9113157982514407
alpaca_11937,-1.6271349741376726,0.6208541310159099
competition_math_12344,6.147526944730061,0.9869594333594227
stresstest_25_138_value1,-3.8747112472889103,0.9893763298523305
bailbench_1232,-4.638211809021848,0.60574189593306
stresstest_11_32_value1,-0.6744912919462739,0.9524738270768704
bailbench_1393,-6.5886632056704535,0.7526923332101854
wildchat_32556,0.37883418245497935,0.7585203576272933
bailbench_483,-6.370685291704372,0.6200963972637815
competition_math_4837,-1.4409095663464644,0.5604071092232442
wildchat_10695,1.0811270295911406,0.9097608250052416
alpaca_1988,-4.295452023985261,0.8659222797801875
bailbench_1576,-10.0,0.6628701406817491
competition_math_5849,0.2927017469811493,0.9651529508527981
competition_math_585,-5.5459767699851135,0.8939290941617606
wildchat_17203,7.328940856388099,0.8357891915613366
competition_math_11565,-4.457775876025287,0.7331463603707167
bailbench_408,-1.5315750527423657,0.9314646198702965
competition_math_5091,-2.423463652229754,0.9250782927990282
alpaca_14145,-2.8283630457738633,0.8518375085929437
alpaca_13092,6.606203345601751,0.9000501797781931
alpaca_6360,5.407365740721899,0.7593557487055437
alpaca_2519,-0.8994988939728396,0.9086159884066486
wildchat_2509,3.536176406731635,0.7525768618430321
wildchat_70573,3.2654898975515136,0.8829649485584323
alpaca_4097,10.0,0.9741730062251373
bailbench_1179,-6.055632385392885,0.9607137097652328
competition_math_1160,-0.7718647193919858,0.7728387564735095
alpaca_4553,6.194840013350491,0.8849210017500544
stresstest_58_1032_neutral,-7.07865162496698,0.6874343219871718
alpaca_10495,-7.424794958855261,0.5855928347562949
competition_math_7114,-1.7608985944262043,0.7709484834306011
stresstest_53_97_value2,-5.437935129285374,0.8462611447908976
wildchat_62151,-3.471944970992912,0.9011158886653157
competition_math_3696,5.691045436629225,0.5670187550380945
wildchat_35534,-3.50826929028176,0.7785969334692998
alpaca_13087,4.762545303485292,0.9047130594166072
bailbench_800,-7.421822973736866,0.8422507418821134
bailbench_470,-5.48021217240998,0.740302846389553
alpaca_1033,10.0,0.8912618898497852
alpaca_6765,8.262568357963278,0.748824546637523
competition_math_6802,-3.9809809268024168,0.9163455167235492
wildchat_54278,-1.0922342148556243,0.6764685187050233
alpaca_6387,9.038326322540161,0.6206118865479061
wildchat_16470,9.396810301255453,0.7681696921629579
competition_math_113,-5.8240005288337775,0.8320575557619823
alpaca_1258,6.471084099159413,0.7300594028988983
alpaca_6557,-5.754887001526797,0.6834440336496674
alpaca_6834,8.362005563768586,0.5780006886093935
wildchat_15203,-5.292038666610935,0.8935306396505166
competition_math_7371,-2.2629014067501116,0.824195145042706
competition_math_11032,2.6700062417548005,0.8940237974547939
stresstest_23_103_value1,6.2843115713399404,0.8791041186606863
alpaca_10073,-3.5990533240221936,0.6204416023512237
competition_math_11209,1.7595435901660514,0.7329092521049941
bailbench_1456,-2.5587185641140735,0.7429959516293363
competition_math_9377,-6.527233086569178,0.6588847086369671
wildchat_53121,1.3609852700823037,0.7014779494138228
stresstest_23_1295_value1,-10.0,0.8034910814795554
wildchat_57641,-5.613692755470448,0.8324707687447592
competition_math_575,-0.9675360043943229,2.173176052797034
wildchat_42011,10.0,0.8013265733806152
wildchat_48167,-7.664245357069803,0.8965450073924038
alpaca_1546,3.927206288384266,0.8775590519209127
alpaca_2162,3.9747530308243144,0.6770728322709391
competition_math_10448,-4.386500477243821,0.6776086431693269
competition_math_11940,1.2542030719078878,0.9951303934593623
wildchat_16036,4.466963559173797,0.8198441897166872
alpaca_1234,4.555999593183699,0.7710482362848841
alpaca_10357,4.949399527411278,0.829671905475844
alpaca_13624,3.2633142897096183,0.8558254791834661
alpaca_10874,8.347481899473756,0.636714372863909
competition_math_12292,0.8496822244773904,0.9334704166827805
wildchat_12051,-3.0038121199391044,0.8681786374694982
stresstest_56_645_neutral,-5.804966443522245,0.8792212603015588
stresstest_23_130_value1,-6.987094301971017,0.9551629381529123
competition_math_1381,-1.401904718442221,0.8636899304462506
alpaca_11159,6.917061616090511,0.9092115531722266
alpaca_7447,4.198109481243929,0.9974506867629945
stresstest_44_345_value2,-10.0,0.9306792674171739
wildchat_67287,2.3692539625604385,0.8064810314458931
wildchat_66139,10.0,0.8333214902110536
competition_math_6403,7.638963417091141,0.7682007963592687
stresstest_5_797_value2,4.230072793852269,0.9052432431361481
competition_math_7665,-6.3100805574600045,0.6846396193684787
wildchat_34611,10.0,0.9551905659908762
stresstest_98_39_neutral,3.7890338122410134,0.853818610825739
competition_math_7563,-2.4905908644559482,0.8582906323735711
wildchat_5425,-1.9736905090797419,0.8805399254211889
alpaca_6069,4.7692950056756125,0.7570982982240783
competition_math_5197,2.187976244255529,0.6208154762763781
wildchat_58467,0.07184641486142197,0.9149498006356466
stresstest_26_422_value2,-4.070381312270586,0.8151192276334972
