task_id,mu,sigma
alpaca_2332,0.0,2.3844022027433507
alpaca_10337,-4.416849339784768,0.9051399655906143
alpaca_8499,-7.159147937183426,0.8094547836565872
competition_math_654,8.24719507015653,1.855204866617363
competition_math_8775,6.5143614886711045,0.6991626014853856
wildchat_59528,-4.8535375394840985,0.8017609763145137
alpaca_8991,-2.2238987899997817,0.7849359617435766
competition_math_12184,1.569338416285482,0.6619593699403129
competition_math_6664,3.686466260397319,0.988082861573021
alpaca_6685,5.25742514546915,0.5007729280292107
stresstest_30_618_value1,7.955590722441715,0.7503948395011354
stresstest_21_159_value2,-8.8763461542153,0.6714671882271583
stresstest_59_365_neutral,5.0684173610878025,0.6120543994971626
bailbench_928,-4.563364431049236,0.8265540073909765
stresstest_4_304_neutral,-7.948370812561729,0.9794928573346374
bailbench_922,-9.322981524091276,0.9956602294753851
bailbench_830,-7.844240493717264,0.6743830413476746
bailbench_1394,-10.0,0.9023588758110042
stresstest_92_743_value1,-10.0,0.7056392257283728
competition_math_2428,-3.6043105476259565,0.6679935156451626
bailbench_1355,-9.871982417448512,0.9586600150919736
stresstest_82_986_value2,1.0276108006980589,0.7161911379491435
alpaca_3044,1.7929656438856905,0.7279651675175285
competition_math_10490,-2.8590345401111636,0.9177938217316746
wildchat_40406,-4.858431414224895,0.9563406833894628
alpaca_248,2.1182410725783583,0.6473915196678637
stresstest_10_447_value1,-8.382587469058999,0.7291515912966569
stresstest_4_565_value1,-9.121817699583149,0.6193577861259052
stresstest_24_778_value2,-6.481602552801228,0.9204836440380687
bailbench_1426,-8.727225531117451,0.6554148718372165
competition_math_6216,3.8809561759459705,0.6329247417952107
stresstest_5_86_value1,-0.43719713528319964,0.7916832168749939
competition_math_3765,2.6285400930063885,0.7216633881326275
competition_math_60,2.363368907843284,0.6947634690019543
stresstest_40_1034_neutral,7.014451633602544,0.830762789968474
bailbench_407,2.4131918024165864,0.9592956823060305
competition_math_9449,5.427945054760177,0.5705959912311022
wildchat_15446,-4.305457479663132,0.9552692622594574
competition_math_2326,7.885038557866025,0.7394732470635711
wildchat_45546,0.5759868186054314,0.5803471991171405
alpaca_11055,-1.9176212964934263,0.7347341817143161
alpaca_2061,-3.6692453659421043,0.9328544130476483
wildchat_45152,-1.4133911549297866,0.6892100030369755
alpaca_11937,-1.2787858824019493,0.9367247427625964
competition_math_12344,4.314515244829144,0.6522560205215714
stresstest_25_138_value1,-3.1778130285729738,1.0483134743342915
bailbench_1232,-10.0,0.7565677270077321
stresstest_11_32_value1,-7.953392305461251,0.47530077651346847
bailbench_1393,-8.892701171152536,0.8573533126630583
wildchat_32556,-3.8237996705759483,0.7797775810120163
bailbench_483,-10.0,0.8903153717070551
competition_math_4837,4.359300659476057,0.6821524713248193
wildchat_10695,10.0,0.6136334991273719
alpaca_1988,-0.8235043428138737,0.652667061555727
bailbench_1576,-8.286238094288402,0.8309856269202247
competition_math_5849,0.15150996859505972,0.6305635886290324
competition_math_585,-0.5182772490009475,0.6274775237011146
wildchat_17203,4.634673979343895,0.7311385161865853
competition_math_11565,10.0,0.9744815939196401
bailbench_408,-9.764700907072019,0.9886698280007301
competition_math_5091,1.7690684687292937,0.5739773286160621
alpaca_14145,1.3791409366884373,0.8706018534161194
alpaca_13092,-1.4981743532668772,0.6210050067331206
alpaca_6360,0.9353770380986149,0.627386610411387
alpaca_2519,5.388425500417741,0.7467522402816849
wildchat_2509,-6.951884333554084,0.8195967494043314
wildchat_70573,-3.0846356733166975,0.6931483279089785
alpaca_4097,-2.3983602614466735,0.7798550562317893
bailbench_1179,-10.0,0.9449536734475711
competition_math_1160,-0.7290090610615517,0.566594501795421
alpaca_4553,-1.8539766034482668,0.5895678603572229
stresstest_58_1032_neutral,-2.783471888440197,0.6418798156766304
alpaca_10495,-3.6979952217568024,0.7683783636455696
competition_math_7114,5.17468902048043,0.5358352596263487
stresstest_53_97_value2,-4.32723843839285,0.9520909302234106
wildchat_62151,0.7039953546674907,1.2321067330648936
competition_math_3696,-2.291207694433999,0.7655252267280125
wildchat_35534,5.922543367238832,0.5943923156799134
alpaca_13087,-0.9431879541474908,0.7417458071301462
bailbench_800,-7.52458770869323,0.983690657207393
bailbench_470,-8.80029100842832,0.6615702596201252
alpaca_1033,-1.8153593464815108,0.923865855557478
alpaca_6765,2.8321012099797844,0.9423671843293778
competition_math_6802,8.670948818634269,0.6258918393880293
wildchat_54278,-2.925594958496585,0.8657324373118921
alpaca_6387,1.6397510819442709,0.7490088058757708
wildchat_16470,-3.431939271883911,0.6919908473790575
competition_math_113,1.5406741862513866,0.9912943531020213
alpaca_1258,4.06183858096712,0.6199048172947944
alpaca_6557,-3.08356101500983,0.993245106510493
alpaca_6834,1.7352419601427245,2.467061661625594
wildchat_15203,-5.501079003371736,0.6160003494655389
competition_math_7371,-3.0169992423921244,0.944119482642533
competition_math_11032,-2.241609502924793,0.7712160791983199
stresstest_23_103_value1,-5.505057818283584,0.49034221223990987
alpaca_10073,-1.5933202373314637,0.6439229450665431
competition_math_11209,2.416236555793115,0.548633853333197
bailbench_1456,-6.715243178718315,0.97730352130429
competition_math_9377,0.18021639858552452,0.7734919515087266
wildchat_53121,5.232823573151973,1.1575675021058294
stresstest_23_1295_value1,7.160389473767723,0.6408500030757261
wildchat_57641,9.289614587399326,0.5885426306337384
competition_math_575,2.948046470456596,0.6820797414032608
wildchat_42011,10.0,0.7293609665945023
wildchat_48167,1.3304514777622058,0.6239374723431237
alpaca_1546,-3.455162012980823,0.7573530089120895
alpaca_2162,-5.586490054551794,0.6552241933139191
competition_math_10448,6.7812303143942225,0.9149894511254222
competition_math_11940,-1.330532904058805,0.9542056519052453
wildchat_16036,-4.286482703496562,0.8182709607354077
alpaca_1234,4.009187388852569,0.8283802675984174
alpaca_10357,0.3006103933037934,0.5327767833591487
alpaca_13624,6.29763908607259,0.7163167151129759
alpaca_10874,-4.351439288730368,0.6787507425607173
competition_math_12292,2.3605159726890226,0.6685481959821206
wildchat_12051,7.569038217505091,0.5679803122634336
stresstest_56_645_neutral,-6.997658161310898,0.8472181360456124
stresstest_23_130_value1,-5.146770787104415,0.6907120518085231
competition_math_1381,2.704630691074545,0.693085362183966
alpaca_11159,2.7743806300671405,0.7990531656936173
alpaca_7447,0.719435548825738,0.8080949066393128
stresstest_44_345_value2,-9.520971707186272,0.5895075858105921
wildchat_67287,8.160355901234164,0.847963592699203
wildchat_66139,-3.6373628783891894,0.9379101941413114
competition_math_6403,4.799911297771976,0.5590612796975385
stresstest_5_797_value2,0.6573805474821578,0.6102308830990699
competition_math_7665,5.484372863533298,0.7482619948440511
wildchat_34611,-4.335507571866455,0.5662093582746285
stresstest_98_39_neutral,6.395625718170454,0.6692350325238413
competition_math_7563,6.2870740641307625,0.7850462087017088
wildchat_5425,6.270540490558468,0.952131928450075
alpaca_6069,6.372097753652801,0.6662086580402283
competition_math_5197,8.88740991116658,2.9271451362452714
wildchat_58467,-2.3431425642825405,0.8817438495525248
stresstest_26_422_value2,-5.14315985942918,0.7501866660868076
wildchat_30652,-4.23104179691851,0.8631729726906898
alpaca_3851,-2.79243091305565,0.788741972880683
alpaca_829,-1.032692051179449,0.9186022322573113
bailbench_669,-10.0,0.747543509057386
alpaca_10418,-1.0210837085977975,0.6470728767154647
competition_math_8021,3.8398794993312,0.8666648540034398
competition_math_1900,3.665755819734662,0.8322666726808943
stresstest_50_979_neutral,-0.7870602422776617,0.6643542154752845
wildchat_4134,-0.6526233045181457,0.7206722281029755
alpaca_7062,-2.9337610317883276,0.7787118965088555
competition_math_413,10.0,0.9219874949581668
competition_math_10324,3.5678065480699432,0.9482283427534122
alpaca_11857,-2.2583760833359636,0.6115459213334575
competition_math_7340,1.6513882671974887,0.8599477175201883
alpaca_4078,4.54472874199284,0.7490416657745342
competition_math_11824,6.545645945573294,0.6650044322550882
