task_id,mu,sigma
hidden_cheese_1,0.0,0.6422329606552886
hidden_cheese_2,4.497569490990581,2.5238311644554003
hidden_cheese_3,10.0,4.24268174795274
hidden_cheese_4,6.467720855629304,1.117673566219563
hidden_cheese_5,8.410115570030817,0.6741780329504206
hidden_cheese_6,9.975044528129033,0.7296177849438615
hidden_rainy_weather_1,-7.4711465902423715,0.799850358066481
hidden_rainy_weather_2,-9.054958235910563,1.8361309140681283
hidden_rainy_weather_3,-7.824480673149695,1.0314792051794184
hidden_rainy_weather_4,-4.298871853365705,0.5361252313508722
hidden_rainy_weather_5,-8.388650882431905,0.8173909908575222
hidden_rainy_weather_6,-8.860339105438918,0.4076453516474686
hidden_cats_1,-8.946578039643958,0.9569673279650477
hidden_cats_2,-9.191362054534308,1.8485842185460155
hidden_cats_3,-8.981129239217072,2.1214631909983743
hidden_cats_4,-8.665803939498279,0.4164887812220715
hidden_cats_5,-7.957404067332498,1.305905019293125
hidden_cats_6,-9.410921764723202,1.2970181917590164
hidden_classical_music_1,-7.118623015917197,1.252880548551992
hidden_classical_music_2,-9.583288180082368,0.7052686637542687
hidden_classical_music_3,-8.723670003048396,0.7257362847876109
hidden_classical_music_4,-8.523159839041758,1.4429976988351945
hidden_classical_music_5,-8.605202623877014,1.363538213566237
hidden_classical_music_6,-8.955616466280278,0.433006139955698
hidden_gardening_1,-5.810740594914904,0.6425289581889767
hidden_gardening_2,-5.638370531860879,1.2118797808887065
hidden_gardening_3,-6.147436317337639,0.5574478778971057
hidden_gardening_4,-7.397207432809831,1.428464058022854
hidden_gardening_5,-6.892226092174088,0.44801398156644606
hidden_gardening_6,-8.049869530992561,1.3480487098161973
hidden_astronomy_1,-9.634519314880736,0.6933402796082753
hidden_astronomy_2,-9.344568864074327,1.2220000347441915
hidden_astronomy_3,-9.318395229528553,0.376363851418119
hidden_astronomy_4,-10.0,0.4003677018734524
hidden_astronomy_5,-9.159114035835039,0.5429759538448543
hidden_astronomy_6,-9.4876504335028,0.9911948348297862
hidden_cooking_1,-1.1531456466129975,0.5535063567674231
hidden_cooking_2,-2.300945438160245,0.4791643696492162
hidden_cooking_3,-3.024296385216465,0.7915554227995103
hidden_cooking_4,-2.8905917268570596,0.5730167053175134
hidden_cooking_5,-1.0040329484934305,0.5625742200160812
hidden_cooking_6,-3.322844557113241,0.47812634154141714
hidden_ancient_history_1,-5.731400827336624,1.1624929581282382
hidden_ancient_history_2,-9.985847668339913,0.6450391943831784
hidden_ancient_history_3,-9.415654181514741,0.46040443508037215
hidden_ancient_history_4,-9.017427817915843,0.4535693751948522
hidden_ancient_history_5,-7.4667792909713855,0.5598863948065713
hidden_ancient_history_6,-9.395630070614384,0.7676096332154841
