task_id,mu,sigma
hidden_cheese_1,0.0,0.9248091337765858
hidden_cheese_2,1.3805827568071656,0.634037100953031
hidden_cheese_3,2.9035551817141596,0.9849149750222697
hidden_cheese_4,2.1397772001658195,1.098518305217852
hidden_cheese_5,2.2015499187552896,2.031142743480288
hidden_cheese_6,1.6273281165134243,0.6050315047079803
hidden_rainy_weather_1,2.0349827797108864,1.0522312579268729
hidden_rainy_weather_2,1.5855885849686093,1.9539065886272904
hidden_rainy_weather_3,2.0789688391029615,0.6682489300442326
hidden_rainy_weather_4,1.4640415206745525,0.2675142319924061
hidden_rainy_weather_5,0.7760198284988796,1.2402307144042461
hidden_rainy_weather_6,1.962481364298232,1.2444577835873645
hidden_cats_1,3.1103976536771443,1.645681064927081
hidden_cats_2,2.330889518104163,1.0297464507050305
hidden_cats_3,1.6941306931243663,1.8767848842954125
hidden_cats_4,2.994179829308317,0.36576620420807554
hidden_cats_5,2.207587329458991,1.4387718581833413
hidden_cats_6,2.3209330186764108,1.4416898058071588
hidden_classical_music_1,2.247476999286664,0.8843976936795469
hidden_classical_music_2,1.6388177238070554,1.5319404584700258
hidden_classical_music_3,1.8948585840423744,1.4335649954653216
hidden_classical_music_4,1.2570823394129085,1.069305479628085
hidden_classical_music_5,1.714307428416017,1.851723346448854
hidden_classical_music_6,1.4696409897564835,1.0885772161906844
hidden_gardening_1,2.0651004979199805,0.4876050413812256
hidden_gardening_2,1.6108049834804326,0.33547400604705885
hidden_gardening_3,2.437271104296753,0.960049061980357
hidden_gardening_4,2.036610936520268,0.4167475720118564
hidden_gardening_5,1.8458715809686774,0.30609625622551834
hidden_gardening_6,2.011569453469259,0.22317487860018867
hidden_astronomy_1,2.7752986735321508,1.4402169904981985
hidden_astronomy_2,2.4668109759192345,2.63075271596125
hidden_astronomy_3,1.887646458525285,0.9045383272294218
hidden_astronomy_4,2.5451406155623637,1.0522265539513802
hidden_astronomy_5,2.6142292054150595,1.392418750200401
hidden_astronomy_6,2.9665947152749657,1.3505869556447303
hidden_cooking_1,3.010542412265987,1.0199120179949013
hidden_cooking_2,3.811234764552962,2.2239868516567287
hidden_cooking_3,2.3074607220042607,1.5314700943309638
hidden_cooking_4,2.433080674852007,0.2540417294420586
hidden_cooking_5,2.200999883015281,0.9490842293088535
hidden_cooking_6,2.680980731039737,1.0999999587818488
hidden_ancient_history_1,3.514448182634599,0.396341788236703
hidden_ancient_history_2,2.307447000142797,0.34355642122879
hidden_ancient_history_3,1.2143059110972336,2.8092927587479513
hidden_ancient_history_4,2.212682909664963,1.8900764741752238
hidden_ancient_history_5,2.5315503055425466,0.27118485524261327
hidden_ancient_history_6,2.6006534551823455,0.249517837703095
