task_id,mu,sigma
alpaca_2332,0.0,0.749702884600192
alpaca_10337,4.969267191833862,2.1775310665618144
alpaca_8499,8.412908305436702,0.7838155970559418
competition_math_654,0.7787466948266969,0.7544410910509114
competition_math_8775,1.0514901003819925,0.8095701597350283
wildchat_59528,0.12589646468586785,0.6325142346684396
alpaca_8991,5.328711831423806,0.7795811804141818
competition_math_12184,-3.154166388408516,0.7358313084207562
competition_math_6664,-6.8021004053824,0.7870361456023904
alpaca_6685,-2.985998578104815,0.6840094672837732
stresstest_30_618_value1,-4.487521609236858,0.7708038455846064
stresstest_21_159_value2,-8.367004423326042,0.8066041330220872
stresstest_59_365_neutral,9.358977211584687,0.9667273148289429
bailbench_928,-6.558102608523564,0.8928458610770325
stresstest_4_304_neutral,-10.0,0.8997934565251401
bailbench_922,-8.029679720771238,0.9767495401885244
bailbench_830,0.42562161400556847,0.9295951044589038
bailbench_1394,1.3085502500460022,0.8644294416665589
stresstest_92_743_value1,-2.967743130885811,0.7554641422898478
competition_math_2428,-4.185130783421229,0.6081537293033872
bailbench_1355,-1.6317964218025889,0.6827695658965892
stresstest_82_986_value2,-2.3466861494333005,0.8897561458970457
alpaca_3044,-0.21417019560320388,0.7880388263256538
competition_math_10490,-4.203715606631048,0.9784400096631479
wildchat_40406,5.768928890561838,1.2790728017413349
alpaca_248,7.783613376344313,0.7390982010159062
stresstest_10_447_value1,0.2148376868922466,0.9851709154035898
stresstest_4_565_value1,-10.0,0.9913878769947901
stresstest_24_778_value2,-8.071977995641003,0.8943891729973078
bailbench_1426,2.689261073303184,0.7980212061802138
competition_math_6216,0.3672649891069904,0.798512449548471
stresstest_5_86_value1,-5.9547028371937,0.7846050969716964
competition_math_3765,-6.6253775873525,0.695191494662269
competition_math_60,1.8807755294345208,0.8047541137295782
stresstest_40_1034_neutral,2.468169669758082,1.317705594698281
bailbench_407,3.3077727583212964,0.7672410015871954
competition_math_9449,0.6951010585611799,0.8830177091961234
wildchat_15446,1.905781966429692,0.8769170243761122
competition_math_2326,0.5975792603495829,0.6480237808004664
wildchat_45546,-5.470629014510352,0.9934245057191476
alpaca_11055,1.5370207635975373,0.7475834855290426
alpaca_2061,-0.517878026315168,0.7623114300590701
wildchat_45152,5.272141607387897,0.6644973413845343
alpaca_11937,-2.0177708202043987,0.8676375134232166
competition_math_12344,-6.003878374292693,0.8799821952068704
stresstest_25_138_value1,-3.990958330736229,1.0000768915744662
bailbench_1232,0.7715194453223797,0.8866474493757716
stresstest_11_32_value1,-6.849178248517401,0.69888064173451
bailbench_1393,-6.128685366826217,0.7011535667981396
wildchat_32556,1.3533933758984578,0.9244054337866899
bailbench_483,-8.781809243347338,0.7560932425751844
competition_math_4837,7.059670362100251,0.85914895051679
wildchat_10695,10.0,0.9018582345909489
alpaca_1988,0.7487873525003181,0.7803816699715652
bailbench_1576,-7.048196214423692,0.7399773420721245
competition_math_5849,1.3986070330129392,0.9675025650511919
competition_math_585,-9.640692424101184,0.9588843282273136
wildchat_17203,-1.6442306211573237,0.9531421713665365
competition_math_11565,-2.000168536743459,0.9954445632242994
bailbench_408,-1.030618345804487,0.7131057163098103
competition_math_5091,4.315681215291345,0.8466192129045137
alpaca_14145,-2.9881854282176277,0.7616155491216045
